//Index	Type	Map	SX	SY	EX	EY	Target	Dir	Level	MaxLevel
380	0	90	187	61	190	64	0	0	0	400
381	0	82	123	120	129	134	0	0	0	400
382	0	82	123	126	134	132	0	0	0	400
383	0	82	127	121	133	133	0	0	0	400
384	0	82	123	121	133	128	0	0	0	400
385	0	83	123	120	129	134	0	0	0	400
386	0	83	123	126	134	132	0	0	0	400
387	0	83	127	121	133	133	0	0	0	400
388	0	83	123	121	133	128	0	0	0	400
389	0	84	123	120	129	134	0	0	0	400
390	0	84	123	126	134	132	0	0	0	400
391	0	84	127	121	133	133	0	0	0	400
392	0	84	123	121	133	128	0	0	0	400
393	0	85	123	120	129	134	0	0	0	400
394	0	85	123	126	134	132	0	0	0	400
395	0	85	127	121	133	133	0	0	0	400
396	0	85	123	121	133	128	0	0	0	400
397	0	86	123	120	129	134	0	0	0	400
398	0	86	123	126	134	132	0	0	0	400
399	0	86	127	121	133	133	0	0	0	400
400	0	86	123	121	133	128	0	0	0	400
401	0	87	123	120	129	134	0	0	0	400
402	0	87	123	126	134	132	0	0	0	400
403	0	87	127	121	133	133	0	0	0	400
404	0	87	123	121	133	128	0	0	0	400
405	0	88	123	120	129	134	0	0	0	400
406	0	88	123	126	134	132	0	0	0	400
407	0	88	127	121	133	133	0	0	0	400
408	0	88	123	121	133	128	0	0	0	400
409	0	89	123	120	129	134	0	0	0	400
410	0	89	123	126	134	132	0	0	0	400
411	0	89	127	121	133	133	0	0	0	400
412	0	89	123	121	133	128	0	0	0	400
413	0	90	123	120	129	134	0	0	0	400
414	0	90	123	126	134	132	0	0	0	400
415	0	90	127	121	133	133	0	0	0	400
416	0	90	123	121	133	128	0	0	0	400
417	0	91	51	190	60	197	0	0	0	400
418	1	91	26	168	28	172	419	0	0	400
419	2	91	112	161	114	166	0	0	0	400
420	1	91	115	168	118	170	421	0	0	400
421	2	91	33	167	37	170	0	0	0	400
422	1	91	82	204	86	205	423	0	0	400
423	2	91	151	198	156	200	0	0	0	400
424	1	91	147	202	148	206	425	0	0	400
425	2	91	81	197	83	199	0	0	0	400
426	0	92	51	190	60	197	0	0	0	400
427	1	92	26	168	28	172	428	0	0	400
428	2	92	112	161	114	166	0	0	0	400
429	1	92	115	168	118	170	430	0	0	400
430	2	92	33	167	37	170	0	0	0	400
431	1	92	82	204	86	205	432	0	0	400
432	2	92	151	198	156	200	0	0	0	400
433	1	92	147	202	148	206	434	0	0	400
434	2	92	81	197	83	199	0	0	0	400
435	1	91	52	161	53	163	436	0	0	400
436	2	95	19	104	20	105	0	1	0	400
437	1	95	17	106	18	107	438	0	0	400
438	2	91	54	163	55	164	0	5	0	400
439	1	92	52	161	53	163	440	0	0	400
440	2	96	19	104	20	105	0	1	0	400
441	1	96	17	106	18	107	442	0	0	400
442	2	92	54	163	55	164	0	5	0	400
443	0	97	31	88	36	95	0	0	0	400
444	0	98	98	128	108	137	0	0	0	400
445	0	99	98	128	108	137	0	0	0	400
446	0	98	141	41	146	45	0	0	0	400
447	0	99	141	41	146	45	0	0	0	400
448	0	98	194	124	198	127	0	0	0	400
449	0	99	194	124	198	127	0	0	0	400
450     0       40      220     15      235     30      0       0       0       400 
451	2	100	24	90	25	86	0	5	0	400
452	1	100	19	87	20	88	450	5	0	400
453	2	91	65	215	66	216	0	3	0	400
454	1	100	42	80	44	81	455	0	0	400
455	2	100	212	31	213	32	0	0	0	400
456	1	100	215	33	217	34	457	0	0	400
457	2	100	40	82	41	84	0	0	0	400
458	1	100	40	97	42	98	459	0	0	400
459	2	100	107	225	109	226	0	0	0	400
460	1	100	108	229	110	230	461	0	0	400
461	2	100	39	94	40	95	0	0	0	400
462	1	92	65	218	67	219	451	3	0	400
463	2	101	24	90	25	86	0	5	0	400
464	1	101	19	87	20	88	450	5	0	400
465	2	92	65	215	66	216	0	3	0	400
466	1	101	42	80	44	81	455	0	0	400
467	2	101	212	31	213	32	0	0	0	400
468	1	101	215	33	217	34	457	0	0	400
469	2	101	40	82	41	84	0	0	0	400
470	1	101	40	97	42	98	459	0	0	400
471	2	101	107	225	109	226	0	0	0	400
472	1	101	108	229	110	230	461	0	0	400
473	2	101	39	94	40	95	0	0	0	400
end
